Unnamed: 0,name,lat,lon,category,type,geometry,thingsaround
4,Kinderkrippe Seefeld globegarden,47.354261,8.557436,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [47.354261, 8.557436]}}",POINT (8.557436 47.354261),25
5,Pika Kinderkrippe,47.359747,8.532273,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [47.359747, 8.532273]}}",POINT (8.532273 47.359747),25
6,Kids & Co Campus Pädagogische Hochschule Zürich,47.376701,8.533823,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [47.376701, 8.533823]}}",POINT (8.533823 47.376701),25
7,Bildungszentrum Matrjoschka,47.382518,8.546416,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [47.382518, 8.546416]}}",POINT (8.546416 47.382518),25
8,Alexi's Kinderkrippe GmbH,47.360233,8.527149,Daycare,"{'typepoint': {'type': 'Point', 'coordinates': [47.360233, 8.527149]}}",POINT (8.527149 47.360233),25
0,Abflüge.Ankünfte.Check-in.Tickets.Auskunft.de.com,47.369381,8.538741,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369381, 8.538741]}}",POINT (8.538741 47.369381),25
1,24h Flughafen Auskunft,47.369323,8.538702,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369323, 8.538702]}}",POINT (8.538702 47.369323),25
2,24h Kloten Zürich Airport,47.369323,8.538702,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369323, 8.538702]}}",POINT (8.538702 47.369323),25
3,24h Aviation Information,47.369929,8.53886,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369929, 8.53886]}}",POINT (8.53886 47.369929),25
4,SWISS International Air Lines AG,47.370343,8.538712,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.370343, 8.538712]}}",POINT (8.538712 47.370343),25
5,Malaysia Airlines,47.372722,8.539919,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.372722, 8.539919]}}",POINT (8.539919 47.372722),25
6,Air China,47.372554,8.53521,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.372554, 8.53521]}}",POINT (8.53521 47.372554),25
7,Singapore Airlines Ltd,47.376494,8.538013,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376494, 8.538013]}}",POINT (8.538013 47.376494),25
8,Aero Lines GmbH,47.381897,8.54096,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.381897, 8.54096]}}",POINT (8.54096 47.381897),25
9,US Airways,47.360244,8.549428,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.360244, 8.549428]}}",POINT (8.549428 47.360244),25
10,Kosova Airlines-KSA Pristina Zweigniederlassung Zürich,47.36812,8.539519,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.36812, 8.539519]}}",POINT (8.539519 47.36812),25
11,"Qatar Airways, Doha/qatar, Zweigniederlassung Zürich",47.367974,8.537078,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.367974, 8.537078]}}",POINT (8.537078 47.367974),25
12,TAP Air Portugal,47.376019,8.545314,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376019, 8.545314]}}",POINT (8.545314 47.376019),25
13,Turkish Airlines,47.370389,8.536057,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.370389, 8.536057]}}",POINT (8.536057 47.370389),25
14,US Airways,47.369319,8.534539,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369319, 8.534539]}}",POINT (8.534539 47.369319),25
15,Aeroflot Russian Airlines,47.371986,8.534904,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.371986, 8.534904]}}",POINT (8.534904 47.371986),25
16,Air India,47.372419,8.534943,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.372419, 8.534943]}}",POINT (8.534943 47.372419),25
17,Malaysian Airlines,47.376727,8.540775,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376727, 8.540775]}}",POINT (8.540775 47.376727),25
18,American Airlines,47.373045,8.534768,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.373045, 8.534768]}}",POINT (8.534768 47.373045),25
19,CSA Czech Airlines,47.374046,8.535632,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374046, 8.535632]}}",POINT (8.535632 47.374046),25
20,Japan Air Lines Co Ltd,47.37263,8.533875,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.37263, 8.533875]}}",POINT (8.533875 47.37263),25
21,Iberia,47.374412,8.535538,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374412, 8.535538]}}",POINT (8.535538 47.374412),25
22,EL AL Israel Airlines Ltd,47.374402,8.535444,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374402, 8.535444]}}",POINT (8.535444 47.374402),25
