,Unnamed: 0,name,lat,lon,category,type,geometry,density
22,27,42matters AG,47.369866,8.532576,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.369866, 8.532576]}}",POINT (8.532576 47.369866),25
23,28,Rondevoo GmbH,47.378714,8.555755,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.378714, 8.555755]}}",POINT (8.555755 47.378714),1
24,29,Habitusnet Consulting AG,47.379329,8.543609,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.379329, 8.543609]}}",POINT (8.543609 47.379329),24
25,30,Spocal,47.38043,8.54749,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.38043, 8.54749]}}",POINT (8.54749 47.38043),8
26,31,Doodle HQ,47.372203,8.530808,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.372203, 8.530808]}}",POINT (8.530808 47.372203),23
27,33,SBBincubator,47.377059,8.535196,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.377059, 8.535196]}}",POINT (8.535196 47.377059),33
28,35,Shortcut Media AG,47.376701,8.533823,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376701, 8.533823]}}",POINT (8.533823 47.376701),35
29,36,futuretek GmbH,47.376653,8.533356,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.376653, 8.533356]}}",POINT (8.533356 47.376653),31
30,37,Lunchgate AG,47.360962,8.570814,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.360962, 8.570814]}}",POINT (8.570814 47.360962),2
31,38,Amphiro AG,47.381745,8.54415,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.381745, 8.54415]}}",POINT (8.54415 47.381745),11
32,39,Fineware,47.361444,8.572361,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.361444, 8.572361]}}",POINT (8.572361 47.361444),2
33,40,Siroop,47.374562,8.530787,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.374562, 8.530787]}}",POINT (8.530787 47.374562),20
34,41,BEN Energy Office,47.382487,8.545095,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.382487, 8.545095]}}",POINT (8.545095 47.382487),8
35,42,VIU - Framing Characters,47.372651,8.52635,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.372651, 8.52635]}}",POINT (8.52635 47.372651),9
36,44,Qoqa,47.382685,8.54029,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.382685, 8.54029]}}",POINT (8.54029 47.382685),10
37,45,Uber Switzerland HQ,47.351192,8.561473,Technology Business,"{'typepoint': {'type': 'Point', 'coordinates': [47.351192, 8.561473]}}",POINT (8.561473 47.351192),1
38,0,Ginetta Web/Mobile,47.374809,8.528531,Design Studio,"{'typepoint': {'type': 'Point', 'coordinates': [47.374809, 8.528531]}}",POINT (8.528531 47.374809),11
