,name,lat,lon,category,type,geometry
40,The Guild,1.280724,103.841569,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.280724, 103.841569]}}",POINT (103.841569 1.280724)
41,Jim Thompson,1.305466,103.815574,Thai Restaurant,"{'typepoint': {'type': 'Point', 'coordinates': [1.305466, 103.815574]}}",POINT (103.815574 1.305466)
42,Lantern,1.283415,103.853588,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283415, 103.853588]}}",POINT (103.853588 1.283415)
43,So France,1.299241,103.858022,Wine Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.299241, 103.858022]}}",POINT (103.858022 1.299241)
44,Employees Only Singapore,1.282111,103.847622,Cocktail Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.282111, 103.847622]}}",POINT (103.847622 1.282111)
45,Good Luck Beerhouse,1.300453,103.859423,Beer Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.300453, 103.859423]}}",POINT (103.859423 1.300453)
46,Wine Connection,1.283856,103.848506,Wine Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283856, 103.848506]}}",POINT (103.848506 1.283856)
47,Lobby Lounge,1.303859,103.8508,Hotel Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.303859, 103.8508]}}",POINT (103.8508 1.303859)
48,Black Tap,1.282317,103.858477,Burger Joint,"{'typepoint': {'type': 'Point', 'coordinates': [1.282317, 103.858477]}}",POINT (103.858477 1.282317)
49,The Landing Point,1.283589,103.853088,Hotel Bar,"{'typepoint': {'type': 'Point', 'coordinates': [1.283589, 103.853088]}}",POINT (103.853088 1.283589)
